PROVIDERCODE,PROVIDERNAME,ADDRESS,PROVINCE,REGION,ACCREDITATION,GEOMETRY,FRAME
880000000000130,"ASSOCIATED MEDICAL & CLINICAL SERVICES, INC.","3/F KALAYAAN BUILDING, CORNER SALCEDO AND DELA ROSA STREETS, LEGASPI VILLAGE, MAKATI CITY, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.014420,14.558366,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0"" src=""https://maps.google.com/maps/ms?msa=0&amp;msid=205370711996374509276.0004b51ca60d9a180058b&amp;ie=UTF8&amp;ll=14.558595,121.015676&amp;spn=0,0&amp;t=m&amp;output=embed""></iframe><br /><small>View <a href=""https://maps.google.com/maps/ms?msa=0&amp;msid=205370711996374509276.0004b51ca60d9a180058b&amp;ie=UTF8&amp;ll=14.558595,121.015676&amp;spn=0,0&amp;t=m&amp;source=embed"" style=""color:#0000FF;text-align:left"">ASSOCIATED MEDICAL &amp; CLINICAL SERVICES</a> in a larger map</small>"
880000000002116,UNIVERSITY OF SANTO TOMAS HOSPITAL,"UNIV. OF SANTO TOMAS CMPD., ESPAÑA, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.990456,14.610978,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+17dcSr8gdGmKdILwESwmstqQtOlGT2QtpPIK6z_Q+where+col1+%3D+&#39;880000000002116&#39;&amp;h=false&amp;lat=14.61040673369792&amp;lng=120.9903616981239&amp;z=18&amp;t=1&amp;l=col7""></iframe>"
880000000009712,HEALTH SCAN LABORATORY & DIAGNOSTIC CENTER,"UNIT 3,5,7 CABY'S COMMERCIAL 94 MAGSAYSAY DRIVE EAST TAPINAC, OLONGAPO CITY, ZAMBALES, PHILIPPINES",ZAMBALES,REGION 3,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.281265,14.830312,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+17dcSr8gdGmKdILwESwmstqQtOlGT2QtpPIK6z_Q+where+col1+%3D+&#39;880000000009712&#39;&amp;h=false&amp;lat=14.830167241965295&amp;lng=120.28159064814756&amp;z=18&amp;t=1&amp;l=col7""></iframe>"
880000000012228,PFC AMBULATORY MEDICINE AND SURGERY CENTER,"335 RIZAL AVENUE CORNER 3RD ST. WEST TAPINAC, OLONGAPO CITY, ZAMBALES, PHILIPPINES",ZAMBALES,REGION 3,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.279877,14.829189,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+17dcSr8gdGmKdILwESwmstqQtOlGT2QtpPIK6z_Q+where+col1+%3D+&#39;880000000012228&#39;&amp;h=false&amp;lat=14.828808578378792&amp;lng=120.27986330554197&amp;z=17&amp;t=1&amp;l=col7""></iframe>"
880000000012299,JESUS NAZARENE GENERAL HOSPITAL,"VICENTE SOLIS ST., POBLACION, LINGAYEN, PANGASINAN, PHILIPPINES",PANGASINAN,REGION 1,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.232185,16.014507,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+17dcSr8gdGmKdILwESwmstqQtOlGT2QtpPIK6z_Q+where+col1+%3D+&#39;880000000012299&#39;&amp;h=false&amp;lat=16.015675135168426&amp;lng=120.23503554627607&amp;z=16&amp;t=1&amp;l=col7""></iframe>"
880000000013234,ACCUVISION DIAGNOSTIC CENTER INC.,"G/F 703 REINA REGENTE ST., BINONDO, MANILA CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>120.973656,14.601395,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+17dcSr8gdGmKdILwESwmstqQtOlGT2QtpPIK6z_Q+where+col1+%3D+&#39;880000000013234&#39;&amp;h=false&amp;lat=14.601183518337951&amp;lng=120.97379637524793&amp;z=19&amp;t=1&amp;l=col7""></iframe>"
880000000014861,"BAYPOINTE HOSPITAL AND MEDICAL CENTER, INC.","BLOCK 8, LOT 1A & 1B DEWEY AVE., CBD AREA, SUBIC BAY FREEPORT ZONE, OLONGAPO CITY, ZAMBALES, PHILIPPINES",ZAMBALES,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.278366,14.825004,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+17dcSr8gdGmKdILwESwmstqQtOlGT2QtpPIK6z_Q+where+col1+%3D+&#39;880000000014861&#39;&amp;h=false&amp;lat=14.82496542663955&amp;lng=120.27891916796872&amp;z=18&amp;t=1&amp;l=col7""></iframe>"
880000000009277,PHILIPPINE ORTHOPEDIC INSTITUTE,"2/F DON JACINTO BLDG., DELA ROSA ST., MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED CLINIC,"<Point><coordinates>121.015259,14.558642,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+1aslYLEhe-4tfd8u5FHDTYx0fDsyrT2RGtvf9n0g&amp;h=false&amp;lat=14.558591525259038&amp;lng=121.01525527999112&amp;z=20&amp;t=1&amp;l=col7""></iframe>"
880000000006035,MAKATI MEDICAL CENTER,"AMORSOLO CORNER DELA ROSA ST.,LEGAZPI VILLAGE, MAKATI CITY, METRO MANILA, PHILIPPINES",METRO MANILA,NCR,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>121.014900,14.559353,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+1aslYLEhe-4tfd8u5FHDTYx0fDsyrT2RGtvf9n0g&amp;h=false&amp;lat=14.559275592915194&amp;lng=121.01535183951566&amp;z=18&amp;t=1&amp;l=col7""></iframe>"
880000000000028,"AFABLE MEDICAL CENTER, INC.","4 AFABLE ST. EAST BAJAC-BAJAC, OLONGAPO CITY, ZAMBALES, PHILIPPINES",ZAMBALES,REGION 3,MAXICARE-ACCREDITED HOSPITAL,"<Point><coordinates>120.284531,14.838697,0.000000</coordinates></Point>","<iframe width=""800"" height=""400"" scrolling=""no"" frameborder=""no"" src=""https://www.google.com/fusiontables/embedviz?viz=MAP&amp;q=select+col7+from+17dcSr8gdGmKdILwESwmstqQtOlGT2QtpPIK6z_Q+where+col1+%3D+&#39;880000000000028+&#39;&amp;h=false&amp;lat=14.837849753600205&amp;lng=120.28558713957975&amp;z=17&amp;t=1&amp;l=col7""></iframe>"
